state,city,population,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,year
ARKANSAS,Augusta,1939.0,12.0,0.0,5.0,0.0,7.0,31.0,4.0,25.0,2.0,0.0,2019-12-31
ARKANSAS,Austin,3973.0,4.0,0.0,0.0,0.0,4.0,21.0,7.0,13.0,1.0,0.0,2019-12-31
ARKANSAS,Bald Knob,2872.0,23.0,0.0,9.0,2.0,12.0,118.0,23.0,89.0,6.0,1.0,2019-12-31
ARKANSAS,Barling,5010.0,28.0,0.0,9.0,0.0,19.0,75.0,5.0,66.0,4.0,0.0,2019-12-31
ARKANSAS,Batesville,10889.0,29.0,0.0,5.0,2.0,22.0,262.0,37.0,212.0,13.0,0.0,2019-12-31
ARKANSAS,Bay,1805.0,3.0,0.0,0.0,1.0,2.0,24.0,5.0,17.0,2.0,0.0,2019-12-31
ARKANSAS,Bearden,859.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,5.0,1.0,0.0,2019-12-31
ARKANSAS,Beebe,8242.0,23.0,0.0,9.0,0.0,14.0,273.0,38.0,218.0,17.0,0.0,2019-12-31
ARKANSAS,Bella Vista,28931.0,49.0,0.0,17.0,0.0,32.0,188.0,39.0,144.0,5.0,1.0,2019-12-31
ARKANSAS,Benton,37161.0,212.0,4.0,18.0,27.0,163.0,1328.0,202.0,1000.0,126.0,6.0,2019-12-31
ARKANSAS,Bentonville,53434.0,119.0,1.0,21.0,9.0,88.0,734.0,80.0,623.0,31.0,1.0,2019-12-31
ARKANSAS,Berryville,5547.0,25.0,0.0,11.0,4.0,10.0,193.0,48.0,135.0,10.0,2.0,2019-12-31
ARKANSAS,Bethel Heights,2810.0,4.0,0.0,4.0,0.0,0.0,18.0,3.0,14.0,1.0,0.0,2019-12-31
ARKANSAS,Blytheville,13468.0,109.0,10.0,5.0,16.0,78.0,629.0,98.0,528.0,3.0,0.0,2019-12-31
ARKANSAS,Bono,2444.0,6.0,0.0,3.0,0.0,3.0,28.0,6.0,19.0,3.0,0.0,2019-12-31
ARKANSAS,Booneville,3829.0,17.0,1.0,2.0,0.0,14.0,107.0,34.0,70.0,3.0,0.0,2019-12-31
ARKANSAS,Bradford,732.0,2.0,0.0,0.0,0.0,2.0,8.0,0.0,7.0,1.0,0.0,2019-12-31
ARKANSAS,Brinkley,2623.0,29.0,0.0,1.0,1.0,27.0,80.0,25.0,42.0,13.0,2.0,2019-12-31
ARKANSAS,Brookland,3759.0,7.0,0.0,5.0,0.0,2.0,60.0,9.0,50.0,1.0,1.0,2019-12-31
ARKANSAS,Bryant,21214.0,32.0,1.0,5.0,3.0,23.0,888.0,45.0,783.0,60.0,3.0,2019-12-31
ARKANSAS,Bull Shoals,1971.0,2.0,0.0,0.0,0.0,2.0,21.0,6.0,14.0,1.0,0.0,2019-12-31
ARKANSAS,Cabot,26875.0,100.0,0.0,39.0,3.0,58.0,371.0,62.0,256.0,53.0,2.0,2019-12-31
ARKANSAS,Caddo Valley,588.0,1.0,0.0,1.0,0.0,0.0,34.0,2.0,30.0,2.0,0.0,2019-12-31
ARKANSAS,Camden,10742.0,113.0,0.0,8.0,10.0,95.0,373.0,84.0,274.0,15.0,4.0,2019-12-31
ARKANSAS,Cammack Village,720.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,12.0,1.0,0.0,2019-12-31
ARKANSAS,Carlisle,2184.0,4.0,0.0,1.0,2.0,1.0,51.0,11.0,39.0,1.0,0.0,2019-12-31
ARKANSAS,Cave Springs,5580.0,3.0,0.0,2.0,0.0,1.0,20.0,3.0,16.0,1.0,0.0,2019-12-31
ARKANSAS,Cedarville,1413.0,10.0,0.0,2.0,1.0,7.0,19.0,2.0,12.0,5.0,0.0,2019-12-31
ARKANSAS,Centerton,16542.0,53.0,2.0,21.0,1.0,29.0,139.0,35.0,96.0,8.0,0.0,2019-12-31
ARKANSAS,Charleston,2454.0,7.0,0.0,2.0,0.0,5.0,24.0,8.0,16.0,0.0,0.0,2019-12-31
ARKANSAS,Cherokee Village,4634.0,10.0,0.0,2.0,0.0,8.0,78.0,31.0,45.0,2.0,0.0,2019-12-31
ARKANSAS,Cherry Valley,583.0,1.0,0.0,0.0,0.0,1.0,8.0,4.0,4.0,0.0,0.0,2019-12-31
ARKANSAS,Clarksville,9813.0,29.0,0.0,15.0,3.0,11.0,240.0,15.0,215.0,10.0,0.0,2019-12-31
ARKANSAS,Clinton,2489.0,8.0,0.0,3.0,1.0,4.0,113.0,22.0,85.0,6.0,0.0,2019-12-31
ARKANSAS,Conway,67336.0,324.0,2.0,49.0,51.0,222.0,1842.0,177.0,1567.0,98.0,8.0,2019-12-31
ARKANSAS,Corning,3093.0,10.0,0.0,2.0,0.0,8.0,41.0,13.0,22.0,6.0,0.0,2019-12-31
ARKANSAS,Cotter,940.0,3.0,0.0,1.0,0.0,2.0,17.0,6.0,10.0,1.0,0.0,2019-12-31
ARKANSAS,Crossett,4846.0,30.0,0.0,3.0,2.0,25.0,187.0,78.0,102.0,7.0,0.0,2019-12-31
ARKANSAS,Damascus,377.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,2019-12-31
ARKANSAS,Dardanelle,4555.0,28.0,1.0,10.0,1.0,16.0,114.0,35.0,69.0,10.0,0.0,2019-12-31
ARKANSAS,Decatur,1813.0,17.0,0.0,8.0,0.0,9.0,46.0,9.0,34.0,3.0,0.0,2019-12-31
ARKANSAS,De Queen,6593.0,33.0,0.0,10.0,0.0,23.0,172.0,64.0,104.0,4.0,0.0,2019-12-31
ARKANSAS,Des Arc,1580.0,8.0,0.0,0.0,0.0,8.0,20.0,9.0,11.0,0.0,0.0,2019-12-31
ARKANSAS,DeWitt,3019.0,28.0,0.0,6.0,1.0,21.0,84.0,28.0,51.0,5.0,4.0,2019-12-31
ARKANSAS,Diaz,1197.0,1.0,0.0,0.0,0.0,1.0,14.0,5.0,4.0,5.0,0.0,2019-12-31
ARKANSAS,Dover,1434.0,8.0,0.0,0.0,0.0,8.0,30.0,4.0,24.0,2.0,1.0,2019-12-31
ARKANSAS,Dumas,4084.0,15.0,1.0,1.0,1.0,12.0,33.0,14.0,18.0,1.0,0.0,2019-12-31
ARKANSAS,Earle,2201.0,15.0,0.0,1.0,1.0,13.0,46.0,20.0,24.0,2.0,0.0,2019-12-31
ARKANSAS,El Dorado,17820.0,239.0,3.0,16.0,23.0,197.0,996.0,524.0,431.0,41.0,4.0,2019-12-31
ARKANSAS,Elkins,3246.0,24.0,0.0,9.0,0.0,15.0,27.0,3.0,22.0,2.0,1.0,2019-12-31
ARKANSAS,England,2723.0,21.0,0.0,4.0,2.0,15.0,87.0,28.0,57.0,2.0,0.0,2019-12-31
ARKANSAS,Etowah,317.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2019-12-31
ARKANSAS,Eudora,1930.0,4.0,0.0,1.0,2.0,1.0,32.0,12.0,20.0,0.0,0.0,2019-12-31
ARKANSAS,Eureka Springs,2092.0,22.0,0.0,4.0,3.0,15.0,95.0,28.0,60.0,7.0,0.0,2019-12-31
ARKANSAS,Fairfield Bay,2202.0,10.0,1.0,4.0,0.0,5.0,40.0,9.0,29.0,2.0,2.0,2019-12-31
ARKANSAS,Farmington,7387.0,33.0,0.0,14.0,3.0,16.0,67.0,8.0,53.0,6.0,3.0,2019-12-31
ARKANSAS,Fayetteville,88500.0,396.0,3.0,56.0,52.0,285.0,3966.0,398.0,3146.0,422.0,2.0,2019-12-31
